,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
105,"Eastside (with Halsey & Khalid)","benny blanco",18822,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
106,"In Your Eyes","The Weeknd",18791,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
107,"Stunnin' (feat. Harm Franklin)","Curtis Waters",18742,https://open.spotify.com/track/2D0dj3hVkRQJCp63cxCPEx
108,SAD!,XXXTENTACION,18670,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
109,"Say You Won't Let Go","James Arthur",18590,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
110,"Dancing With A Stranger (with Normani)","Sam Smith",18477,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
111,"Be Alright","Dean Lewis",18409,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
112,"Lose Control",MEDUZA,18384,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
113,"All Girls Are The Same","Juice WRLD",18227,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
114,Risky,Elaine,18087,https://open.spotify.com/track/76Updb7OaDsoOHuqFbsuYr
115,"hot girl bummer",blackbear,17998,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
116,"when the party's over","Billie Eilish",17928,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
117,"Don't Stop Believin'",Journey,17685,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue
118,"I Like Me Better",Lauv,17581,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
119,"Lion King On Ice","J. Cole",17440,https://open.spotify.com/track/1ZvBVbsaNqHEP6ymXaPGlj
120,"Know Your Worth",Khalid,17372,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
121,"Sweet but Psycho","Ava Max",17244,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
122,"Be Like That - feat. Swae Lee & Khalid","Kane Brown",17105,https://open.spotify.com/track/5f1joOtoMeyppIcJGZQvqJ
123,Falling,"Harry Styles",17094,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
124,Perfect,"Ed Sheeran",17005,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
125,"Tap In",Saweetie,16971,https://open.spotify.com/track/4Hpib09wXgD84w4uwTPnYD
126,"Call You Mine","The Chainsmokers",16962,https://open.spotify.com/track/2oejEp50ZzPuQTQ6v54Evp
127,2002,Anne-Marie,16901,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
128,Supalonely,BENEE,16587,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
129,BOP,DaBaby,16549,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
130,"We Paid (feat. 42 Dugg)","Lil Baby",16480,https://open.spotify.com/track/6gxKUmycQX7uyMwJcweFjp
131,"High Fashion (feat. Mustard)","Roddy Ricch",16326,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
132,"Ilog Drum","Kabza De Small",16282,https://open.spotify.com/track/02sxnXoCxbGxs6dPANWOHr
